year;bracket;rate;accpay;net
1961;7500;0.04;105;7395
1961;10000;0.06;205;9795
1961;12500;0.08;355;12145
1961;15000;0.1;555;14445
1961;17500;0.12;805;16695
1961;20000;0.15;1105;18895
1961;25000;0.18;1855;23145
1961;30000;0.21;2755;27245
1961;35000;0.24;3805;31195
1961;40000;0.28;5005;34995
1961;45000;0.31;6405;38595
1961;50000;0.35;7955;42045
1961;60000;0.4;11455;48545
1961;75000;0.45;17455;57545
1961;100000;0.5;28705;71295
1961;150000;0.55;53705;96295
1961;200000;0.6;81205;118795
1961;300000;0.65;141205;158795
1961;500000;0.7;271205;228795
1961;750000;0.75;446205;303795
1961;1000000;0.8;633705;366295
1962;2000;0;0;2000
1962;3000;0;0;3000
1962;4000;0.01;0;4000
1962;5000;0.02;10;4990
1962;6000;0.03;30;5970
1962;7500;0.04;75;7425
1962;10000;0.06;175;9825
1962;12500;0.08;325;12175
1962;15000;0.1;525;14475
1962;17500;0.12;775;16725
1962;20000;0.15;1075;18925
1962;25000;0.18;1825;23175
1962;30000;0.21;2725;27275
1962;35000;0.24;3775;31225
1962;40000;0.28;4975;35025
1962;45000;0.31;6375;38625
1962;50000;0.35;7925;42075
1962;60000;0.4;11425;48575
1962;75000;0.45;17425;57575
1962;100000;0.5;28675;71325
1962;150000;0.55;53675;96325
1962;200000;0.6;81175;118825
1962;300000;0.65;141175;158825
1962;500000;0.7;271175;228825
1962;750000;0.75;446175;303825
1962;1000000;0.8;633675;366325
1963;2000;0;0;2000
1963;3000;0;0;3000
1963;4000;0;0;4000
1963;5000;0.01;0;5000
1963;6000;0.02;10;5990
1963;7000;0.03;30;6970
1963;8000;0.04;60;7940
1963;10000;0.06;140;9860
1963;12500;0.08;290;12210
1963;15000;0.1;490;14510
1963;17500;0.12;740;16760
1963;20000;0.15;1040;18960
1963;25000;0.18;1790;23210
1963;30000;0.21;2690;27310
1963;35000;0.24;3740;31260
1963;40000;0.28;4940;35060
1963;45000;0.31;6340;38660
1963;50000;0.35;7890;42110
1963;60000;0.4;11390;48610
1963;75000;0.45;17390;57610
1963;100000;0.5;28640;71360
1963;150000;0.55;53640;96360
1963;200000;0.6;81140;118860
1963;300000;0.65;141140;158860
1963;500000;0.7;271140;228860
1963;750000;0.75;446140;303860
1963;1000000;0.8;633640;366360
1964;2000;0;0;2000
1964;3000;0;0;3000
1964;4000;0;0;4000
1964;5000;0.01;0;5000
1964;6000;0.02;10;5990
1964;7000;0.03;30;6970
1964;8000;0.04;60;7940
1964;10000;0.06;140;9860
1964;12500;0.08;290;12210
1964;15000;0.1;490;14510
1964;17500;0.12;740;16760
1964;20000;0.15;1040;18960
1964;25000;0.18;1790;23210
1964;30000;0.21;2690;27310
1964;35000;0.24;3740;31260
1964;40000;0.28;4940;35060
1964;45000;0.31;6340;38660
1964;50000;0.35;7890;42110
1964;60000;0.4;11390;48610
1964;75000;0.45;17390;57610
1964;100000;0.5;28640;71360
1964;150000;0.55;53640;96360
1964;200000;0.6;81140;118860
1964;300000;0.65;141140;158860
1964;500000;0.7;271140;228860
1964;750000;0.75;446140;303860
1964;1000000;0.8;633640;366360
1965;2000;0;0;2000
1965;3000;0;0;3000
1965;4000;0;0;4000
1965;5000;0.01;0;5000
1965;6000;0.02;10;5990
1965;7000;0.03;30;6970
1965;8000;0.04;60;7940
1965;10000;0.06;140;9860
1965;12500;0.08;290;12210
1965;15000;0.1;490;14510
1965;17500;0.12;740;16760
1965;20000;0.15;1040;18960
1965;25000;0.18;1790;23210
1965;30000;0.21;2690;27310
1965;35000;0.24;3740;31260
1965;40000;0.28;4940;35060
1965;45000;0.31;6340;38660
1965;50000;0.35;7890;42110
1965;60000;0.4;11390;48610
1965;75000;0.45;17390;57610
1965;100000;0.5;28640;71360
1965;150000;0.55;53640;96360
1965;200000;0.6;81140;118860
1965;300000;0.65;141140;158860
1965;500000;0.7;271140;228860
1965;750000;0.75;446140;303860
1965;1000000;0.8;633640;366360
1966;2000;0;0;2000
1966;3000;0;0;3000
1966;4000;0;0;4000
1966;5000;0.01;0;5000
1966;6000;0.02;10;5990
1966;7000;0.03;30;6970
1966;8000;0.04;60;7940
1966;10000;0.06;140;9860
1966;12500;0.08;290;12210
1966;15000;0.1;490;14510
1966;17500;0.12;740;16760
1966;20000;0.15;1040;18960
1966;25000;0.18;1790;23210
1966;30000;0.21;2690;27310
1966;35000;0.24;3740;31260
1966;40000;0.28;4940;35060
1966;45000;0.31;6340;38660
1966;50000;0.35;7890;42110
1966;60000;0.4;11390;48610
1966;75000;0.45;17390;57610
1966;100000;0.5;28640;71360
1966;150000;0.55;53640;96360
1966;200000;0.6;81140;118860
1966;300000;0.65;141140;158860
1966;500000;0.7;271140;228860
1966;750000;0.75;446140;303860
1966;1000000;0.8;633640;366360
1967;2000;0;0;2000
1967;3000;0;0;3000
1967;4000;0;0;4000
1967;5000;0.01;0;5000
1967;6000;0.02;10;5990
1967;7000;0.03;30;6970
1967;8000;0.04;60;7940
1967;10000;0.06;140;9860
1967;12500;0.08;290;12210
1967;15000;0.1;490;14510
1967;17500;0.12;740;16760
1967;20000;0.15;1040;18960
1967;25000;0.18;1790;23210
1967;30000;0.21;2690;27310
1967;35000;0.24;3740;31260
1967;40000;0.28;4940;35060
1967;45000;0.31;6340;38660
1967;50000;0.35;7890;42110
1967;60000;0.4;11390;48610
1967;75000;0.45;17390;57610
1967;100000;0.5;28640;71360
1967;150000;0.55;53640;96360
1967;200000;0.6;81140;118860
1967;300000;0.65;141140;158860
1967;500000;0.7;271140;228860
1967;750000;0.75;446140;303860
1967;1000000;0.8;633640;366360
1968;2000;0;0;2000
1968;3000;0;0;3000
1968;4000;0;0;4000
1968;5000;0.01;0;5000
1968;6000;0.02;10;5990
1968;7000;0.03;30;6970
1968;8000;0.04;60;7940
1968;10000;0.06;140;9860
1968;12500;0.08;290;12210
1968;15000;0.1;490;14510
1968;17500;0.12;740;16760
1968;20000;0.15;1040;18960
1968;25000;0.18;1790;23210
1968;30000;0.21;2690;27310
1968;35000;0.24;3740;31260
1968;40000;0.28;4940;35060
1968;45000;0.31;6340;38660
1968;50000;0.35;7890;42110
1968;60000;0.4;11390;48610
1968;75000;0.45;17390;57610
1968;100000;0.5;28640;71360
1968;150000;0.55;53640;96360
1968;200000;0.6;81140;118860
1968;300000;0.65;141140;158860
1968;500000;0.7;271140;228860
1968;750000;0.75;446140;303860
1968;1000000;0.8;633640;366360
1969;10000;0.25;0;10000
1969;17500;0.3;1875;15625
1969;30000;0.45;5625;24375
1969;40000;0.6;10125;29875
1969;80000;0.65;34125;45875
1969;150000;0.7;79625;70375
1969;300000;0.75;184625;115375
1969;500000;0.8;334625;165375
1969;750000;0.85;534625;215375
1970;10000;0.25;0;10000
1970;17500;0.3;1875;15625
1970;30000;0.45;5625;24375
1970;40000;0.6;10125;29875
1970;80000;0.65;34125;45875
1970;150000;0.7;79625;70375
1970;300000;0.75;184625;115375
1970;500000;0.8;334625;165375
1970;750000;0.85;534625;215375
1971;12500;0.25;0;12500
1971;17500;0.3;1250;16250
1971;30000;0.45;5000;25000
1971;40000;0.6;9500;30500
1971;80000;0.65;33500;46500
1971;150000;0.7;79000;71000
1971;300000;0.75;184000;116000
1971;500000;0.8;334000;166000
1971;750000;0.85;534000;216000
1972;15000;0.25;0;15000
1972;20000;0.3;1250;18750
1972;30000;0.35;4250;25750
1972;40000;0.4;7750;32250
1972;50000;0.45;11750;38250
1972;60000;0.5;16250;43750
1972;80000;0.55;26250;53750
1972;100000;0.6;37250;62750
1972;150000;0.65;67250;82750
1972;200000;0.7;99750;100250
1972;500000;0.75;309750;190250
1973;15000;0.25;0;15000
1973;20000;0.3;1250;18750
1973;30000;0.35;4250;25750
1973;40000;0.4;7750;32250
1973;50000;0.45;11750;38250
1973;60000;0.5;16250;43750
1973;80000;0.55;26250;53750
1973;100000;0.6;37250;62750
1973;150000;0.65;67250;82750
1973;200000;0.7;99750;100250
1973;500000;0.75;309750;190250
1974;15000;0.25;0;15000
1974;20000;0.3;1250;18750
1974;30000;0.35;4250;25750
1974;40000;0.4;7750;32250
1974;50000;0.45;11750;38250
1974;60000;0.5;16250;43750
1974;80000;0.55;26250;53750
1974;100000;0.6;37250;62750
1974;150000;0.65;67250;82750
1974;200000;0.7;99750;100250
1974;500000;0.75;309750;190250
1975;10000;0.1;0;10000
1975;20000;0.15;1000;19000
1975;25000;0.2;1750;23250
1975;30000;0.25;2750;27250
1975;40000;0.3;5250;34750
1975;50000;0.35;8250;41750
1975;60000;0.4;11750;48250
1975;80000;0.45;19750;60250
1975;100000;0.5;28750;71250
1975;120000;0.55;38750;81250
1975;150000;0.6;55250;94750
1975;500000;0.65;265250;234750
1975;1000000;0.7;590250;409750
1975;2000000;0.75;1290250;709750
1976;10000;0.1;0;10000
1976;20000;0.15;1000;19000
1976;25000;0.2;1750;23250
1976;30000;0.25;2750;27250
1976;40000;0.3;5250;34750
1976;50000;0.35;8250;41750
1976;60000;0.4;11750;48250
1976;80000;0.45;19750;60250
1976;100000;0.5;28750;71250
1976;120000;0.55;38750;81250
1976;150000;0.6;55250;94750
1976;500000;0.65;265250;234750
1976;1000000;0.7;590250;409750
1976;2000000;0.75;1290250;709750
1977;25000;0.1;0;25000
1977;30000;0.15;500;29500
1977;35000;0.2;1250;33750
1977;40000;0.25;2250;37750
1977;50000;0.3;4750;45250
1977;60000;0.35;7750;52250
1977;70000;0.4;11250;58750
1977;90000;0.45;19250;70750
1977;110000;0.5;28250;81750
1977;130000;0.55;38250;91750
1977;160000;0.6;54750;105250
1977;510000;0.65;264750;245250
1977;1010000;0.7;589750;420250
1977;2010000;0.75;1289750;720250
1978;25000;0.1;0;25000
1978;30000;0.15;500;29500
1978;35000;0.2;1250;33750
1978;40000;0.25;2250;37750
1978;50000;0.3;4750;45250
1978;60000;0.35;7750;52250
1978;70000;0.4;11250;58750
1978;90000;0.45;19250;70750
1978;110000;0.5;28250;81750
1978;130000;0.55;38250;91750
1978;160000;0.6;54750;105250
1978;510000;0.65;264750;245250
1978;1010000;0.7;589750;420250
1978;2010000;0.75;1289750;720250
1979;25000;0.1;0;25000
1979;30000;0.15;500;29500
1979;35000;0.2;1250;33750
1979;40000;0.25;2250;37750
1979;50000;0.3;4750;45250
1979;60000;0.35;7750;52250
1979;70000;0.4;11250;58750
1979;90000;0.45;19250;70750
1979;110000;0.5;28250;81750
1979;130000;0.55;38250;91750
1979;160000;0.6;54750;105250
1979;510000;0.65;264750;245250
1979;1010000;0.7;589750;420250
1979;2010000;0.75;1289750;720250
1980;50000;0.3;0;50000
1980;60000;0.35;3000;57000
1980;70000;0.4;6500;63500
1980;90000;0.45;14500;75500
1980;110000;0.5;23500;86500
1980;135000;0.55;36000;99000
1980;160000;0.6;49750;110250
1980;510000;0.65;259750;250250
1980;1010000;0.7;584750;425250
1980;2010000;0.75;1284750;725250
1981;50000;0.3;0;50000
1981;60000;0.35;3000;57000
1981;70000;0.4;6500;63500
1981;90000;0.45;14500;75500
1981;110000;0.5;23500;86500
1981;135000;0.55;36000;99000
1981;160000;0.6;49750;110250
1981;510000;0.65;259750;250250
1981;1010000;0.7;584750;425250
1981;2010000;0.75;1284750;725250
1982;55000;0.3;0;55000
1982;75000;0.35;6000;69000
1982;100000;0.4;14750;85250
1982;130000;0.45;26750;103250
1982;165000;0.5;42500;122500
1982;200000;0.55;60000;140000
1982;250000;0.6;87500;162500
1982;650000;0.65;327500;322500
1982;1250000;0.7;717500;532500
1982;2500000;0.75;1592500;907500
1983;60000;0.3;0;60000
1983;80000;0.35;6000;74000
1983;110000;0.4;16500;93500
1983;140000;0.45;28500;111500
1983;175000;0.5;44250;130750
1983;220000;0.55;66750;153250
1983;270000;0.6;94250;175750
1983;700000;0.65;352250;347750
1983;1325000;0.7;758500;566500
1983;2650000;0.75;1686000;964000
1984;64000;0.3;0;64000
1984;85000;0.35;6300;78700
1984;116000;0.4;17150;98850
1984;148000;0.45;29950;118050
1984;185000;0.5;46600;138400
1984;232000;0.55;70100;161900
1984;285000;0.6;99250;185750
1985;67000;0.3;0;67000
1985;89000;0.35;6600;82400
1985;122000;0.4;18150;103850
1985;155000;0.45;31350;123650
1985;194000;0.5;48900;145100
1985;243000;0.55;73400;169600
1985;299000;0.6;104200;194800
1986;71000;0.3;0;71000
1986;95000;0.35;7200;87800
1986;129000;0.4;19100;109900
1986;164000;0.45;33100;130900
1986;206000;0.5;52000;154000
1986;257000;0.55;77500;179500
1986;317000;0.6;110500;206500
1987;90000;0.3;0;90000
1987;140000;0.4;15000;125000
1987;220000;0.5;47000;173000
1987;330000;0.6;102000;228000
1988;110000;0.4;0;110000
1989;118000;0.4;0;118000
1990;128000;0.4;0;128000
1991;140000;0.4;0;140000
1992;150000;0.4;0;150000
1993;150000;0.4;0;150000
1994;150000;0.4;0;150000
1995;154000;0.4;0;154000
1996;200000;0.4;0;200000
1997;215000;0.4;0;215000
1998;223000;0.4;0;223000
1999;231000;0.4;0;231000
2000;234000;0.4;0;234000
2001;242000;0.4;0;242000
2002;250000;0.4;0;250000
2003;255000;0.4;0;255000
2004;263000;0.4;0;263000
2005;275000;0.4;0;275000
2006;285000;0.4;0;285000
2007;300000;0.4;0;300000
2008;312000;0.4;0;312000
2009;325000;0.4;0;325000
2010;325000;0.4;0;325000
2011;325000;0.4;0;325000
2012;325000;0.4;0;325000
